name,company,region,salary_min,salary_max,currency,date,url,requirement,duty
Аналитик данных по управлению цифровыми компетенциями,"ООО ""ЦИФРОВЫЕ ПРИВЫЧКИ""",Город Санкт-Петербург,80000,100000,«руб.»,,https://trudvsem.ru/vacancy/card/1161690131965/6122f979-94cb-11f1-9253-c35c7c22d563,,Разработка и актуализация дашбордов для мониторинга KPI. Предиктивная аналитика и построение прогнозных моделей. Формирование регламентной и внеплановой отчетности для руководства. Внедрение комплексной методики валидации данных в системе ETL с использованием алгоритмов машинного обучения.
Аналитик данных,"ООО ""МИТ""",Город Москва,150000,200000,«руб.»,,https://trudvsem.ru/vacancy/card/5167746410200/4246c6d8-add5-11f1-9b06-338bb3104f83,,"Мониторинг качества прогнозов на различных уровнях агрегации (SKU, магазин, распределительный центр, категория, регион). Оценка прогнозов на бизнес-метриках: WAPE, BIAS на разных горизонтах планирования; Анализ причин отклонения прогнозов и взаимодействие с бизнес-пользователями (планирование, коммерческий блок, категорийный менеджмент) для поиска причин снижения качества прогнозирования; Формирование и проверка гипотез по повышению точности моделей прогнозирования; Разработка новых признаков и совершенствование алгоритмов прогнозирования временных рядов; Анализ влияния промо, цен, сезонности, праздничных дней, ассортимента, открытия/закрытия магазинов, OOS, изменений матрицы, логистических ограничений и других факторов на продажи; Переобучение моделей, управление жизненным циклом моделей и контроль деградации качества прогнозов; Проведение backtesting и оценка эффективности новых алгоритмов; Работа с большими объёмами данных с использованием PySpark и распределённых вычислений; Подготовка аналитических материалов и рекомендаций для развития процессов прогнозирования спроса; Участие в выборе архитектуры решения и планировании Roadmap развития системы совместно с вендором."
Аналитик данных,"ООО ""ДНС ТЕХНОЛОГИИ""",Приморский край,81000,150000,«руб.»,,https://trudvsem.ru/vacancy/card/1202500017477/03c0eab1-9546-11f1-9253-c35c7c22d563,,"Создание и поддержка аналитической отчетности в Superset Взаимодействие с заказчиками: сбор требований, согласование ТЗ и методологии расчета метрик Проектирование и сборка аналитических витрин данных Совместная работа с инженерами данных по автоматизации расчетов"
Аналитик данных,"ООО ""ИТМ""",Краснодарский край,250000,250000,«руб.»,,https://trudvsem.ru/vacancy/card/1142311001744/c316cc68-871c-11ef-8126-cb26dff57dd7,"Команда MagnitTech  это опытная команда IT, которая создает экосистему современных цифровых продуктов Магнит: доставка продуктов, лекарств, инструменты для обеспечения лояльности клиентов, специальные проекты и продукты для внутренних нужд. Подробнее о продукте / проекте: Онлайн коммерция сегодня - это наш собственный сервис доставки, а также доставка через партнеров Сбермаркет, Яндекс Еда и Delivery Club. Мы уже конкурируем с топовыми маркетплейсами, так как в наших магазинах более 30 тыс. уникальных наименований товаров","искать точки роста для развития эффективности блока операций онлайн коммерции снижать затраты на сборку и доставку анализировать эффективность каждого этапа заказа формировать и анализировать эксперименты (A/B тесты), измерять эффект от внедряемых изменений строить регулярную отчетность/дашборды по объективным показателям деятельности искать и анализировать новые источники, оценивать их применимость"
Аналитик данных,ПЕТРОСТАТ,Город Санкт-Петербург,55000,65000,«руб.»,,https://trudvsem.ru/vacancy/card/1037828011627/a2fb5d5b-736c-11f0-b2d9-cb26dff57dd7,,"- Выполнение статистических расчетов на основе соответствующих математических и технических средств; - Работа с внутренними базами данных; - Расчет агрегированных и производных статистических показателей; - Подготовка презентаций; - Подготовка аналитических, информационных и других материалов."
Аналитик данных,"АО ""РТ ЛАБС""",Город Москва,100000,140000,«руб.»,,https://trudvsem.ru/vacancy/card/1035009567450/8791cd50-4212-11f1-b3e4-cf3ddcab603c,,"Решение задач по внедрению LLM, разработке RAG-агентов, созданию собственной LLM и ML-платформы Участие в полном цикле разработки, от постановки задачи до внедрения Создание высоконагруженных ML-сервисов и написать production-ready кода Проведение исследований и внедрение их результатов в продукты"
Аналитик данных,"АО ""РТ ЛАБС""",Московская область,100000,140000,«руб.»,,https://trudvsem.ru/vacancy/card/1035009567450/146bbb10-43a7-11f1-aa71-659f9ad1813b,,"Решение задач по внедрению LLM, разработке RAG-агентов, созданию собственной LLM и ML-платформы Участие в полном цикле разработки, от постановки задачи до внедрения Создание высоконагруженных ML-сервисов и написание production-ready кода Проведение исследований и внедрение их результатов в продукты"
Аналитик данных,ИП СОТНИКОВ Е. Е.,Алтайский край,50000,60000,«руб.»,,https://trudvsem.ru/vacancy/card/324460000023728/7ff936b8-7b13-11f1-bfbc-a1d6d860641d,,"Сбор, обработка и анализ количественных данных с Московской биржи (MOEX) Построение аналитических моделей и выявление рыночных трендов Анализ принятых решений ведение дневника решений и формирование отчетов всей инвест деятельности включая за пределами фр Участие в формировании стратегий на основе количественных и качественных данных Мониторинг и анализ эффективности инвестиционных решений"
Data analyst / Аналитик данных,"ООО ""КОЛЛ СОЛЮШЕНС""",Город Санкт-Петербург,90000,90000,«руб.»,,https://trudvsem.ru/vacancy/card/1197847104927/74068308-180d-11ef-8873-e7d0d2cf29b1,Данная вакансия подразумевает работу только из офиса.,"Исследование поведения пользователей, поиск проблем и точек роста бизнеса; Поиск причин роста и падения метрик; Оценка рисков и влияния продуктовых изменений и маркетинговых активностей; Планирование и прогнозирование бизнес-показателей; Визуализация данных и разработка дашбордов (Tableau); Закрытие ad-hoc запросов бизнеса (SQL/Python); Работа со стейхколдерами для определения приоритетов развития; Представление интересов команды на общих встречах."
Аналитик больших данных,ООО «МЕГАТЕХ»,Город Москва,80000,80000,«руб.»,,https://trudvsem.ru/vacancy/card/1207700399356/2a3c8049-08bb-11f0-a533-cb26dff57dd7,,"Построение математических моделей, моделей машинного обучения, получение инсайтов из данных для выполнения целей Компании"
Ведущий аналитик данных,"ООО ""РХИ""",Город Санкт-Петербург,80000,80000,«руб.»,,https://trudvsem.ru/vacancy/card/1117847539083/f9d68a98-2cd1-11f1-b5dd-29546c10542c,,"отвечать за стратегический анализ крупных массивов информации, разработка прогнозных моделей и автоматизация отчетности."
"Data Analyst/Аналитик данных (PostgreSQL, Python)","Сбербанк России, ПАО",Омская область,95000,0,«руб.»,,https://trudvsem.ru/vacancy/card/5147746474134/e7adedb4-ac2c-11f1-9a0a-adfa6fe70d3a,,"Ежедневно в Сбер поступают множество обращений от клиентов и наша задача предоставить им максимально комфортный сервис. Для этого нам необходимо осуществлять мониторинг операций и контролировать качество предоставления услуг. Разработчики анализируют данные, выявляют отклонения в работе специалистов контактного центра с целью дальнейшей оптимизации процессов, а также моделируют зависимости между данными, предлагают новые методы оценки и контроля показателей. Мы работаем на базе GreenPlum(PostgreSQL) и Python, с библиотеками анализа Big data numpy, pandas и др. Обязанности • анализ данных (выявление ошибок в работе специалистов контактных центров Сбербанка); • ad hoc аналитика по запросам; • разработка алгоритмов автоматизированного поиска ошибок. Требования • хорошее знание возможностей GreenPlum(PostgreSQL): оконные функции, вложенные запросы, оптимизация запросов, временные таблицы; • знание Python и основных библиотек для анализа данных (numpy, pandas). Перед собеседованием повтори функции: megre, cumsum, transform, unstack, groupby, np.where, str.join, str.split, срезы; • опыт работы с Git и Github, Bitbucket, Confluence, Jira; • опыт разработки, либо пул собственных проектов (присылай ссылки) • умение использовать ИИ для упрощения повседневных задач. Условия • трудоустройство согласно ТК РФ; • годовое премирование; • доступ к корпоративному порталу обучения; • работа с огромной базой данных крупнейшего банка РФ; • ДМС, страхование от несчастных случаев и тяжелых заболеваний; • плюшки от Сбера, партнеров и компаний экосистемы (льготное кредитование, в том числе ипотечное; повышенные ставки по вкладам). Приходи! Ждем именно тебя!"
Ведущий аналитик больших данных,"ООО ""РХИ""",Город Санкт-Петербург,80000,80000,«руб.»,,https://trudvsem.ru/vacancy/card/1117847539083/6075ba28-2c2b-11f1-b896-f7acc8f2fb19,,"отвечать за стратегический анализ крупных массивов информации, разработка прогнозных моделей и автоматизация отчетности."
Аналитик учетных данных и систем,"АО ""КОНЦЕРН ""ГРАНИТ-ЭЛЕКТРОН""",Город Санкт-Петербург,119200,119200,«руб.»,,https://trudvsem.ru/vacancy/card/5067847016782/a559ed88-397f-11f1-9a2a-17c964ea3db7,,Выполнение проверки реализации требований к функциям системы на базе 1C:ERP. Управление предприятием с использованием методов и данных для пользовательского тестирования. Осуществление выбора наиболее эффективного варианта реализации запроса совместно с разработчиком и автором запроса. Наблюдение за проведением приемочных испытаний системы.
Специалист по работе с большими данными (аналитики),"ГБПОУ ""БРИТ""",Республика Бурятия,45000,45000,«руб.»,,https://trudvsem.ru/vacancy/card/1080327001149/2a72d6a0-9f82-11f1-be6c-191a6b2a1e33,,"- умение работать в многозадачности - оперативность и точность в ведении документации и работе с базами данных -навыки работы в Excel продвинутого уровня - грамотная письменная речь, ведение деловой переписки"
Аналитик (Инженер по данным и искусственному интеллекту),"СПБ ГКУ ""ЦЕНТР АРХИВНЫХ ДОКУМЕНТОВ""",Город Санкт-Петербург,70000,80000,«руб.»,,https://trudvsem.ru/vacancy/card/1027810317820/17d8a7b8-b046-11f1-987b-b1d3bf2d14ab,,"Разрабатывать и поддерживать ETL/ELT‑процессы, скрипты и парсеры для извлечения, преобразования и загрузки данных из внешних и внутренних источников. Разрабатывать и поддерживать SQL‑запросы для формирования витрин в DWH, выборки и корректировки данных. Развёртывать и сопровождать модели машинного обучения и искусственного интеллекта: настраивать их запуск, выполнять оптимизацию и мониторинг. Составлять ER‑диаграммы баз данных, описывать архитектуру и логику работы ETL/ELT‑процессов, готовить и актуализировать техническую документацию, инструкции и регламенты. Участвовать в подготовке методических материалов по темам управления данными, автоматизации и применения ИИ в деятельности Учреждения."
Аналитик-координатор анализа полетных данных,"АО ""АВИАКОМПАНИЯ ТАЙГА""",Сахалинская область,129132,129132,«руб.»,,https://trudvsem.ru/vacancy/card/1026500545422/f5d7dee5-e783-11ec-aeac-57fc951f3846,,"Осуществляет сбор и анализ полётной информации, выполняет координирующие функции по результатам АПД с персоналом ЛС, ведет отчётную документацию."
Аналитик качества данных управленческой отчетности,"Сбербанк России, ПАО",Нижегородская область,0,0,«руб.»,,https://trudvsem.ru/vacancy/card/5147746474134/8aae0904-9bc5-11f1-8e0f-3b08a1b18ff4,,"Команда MIS отвечает за выпуск управленческой отчетности Сбера. Присоединяйтесь, если любите анализировать данные, уверенно владеете SQL и хотите помогать руководителям Сбера принимать важные решения. Чем предстоит заниматься: оперативно мониторить изменения в управленческой отчетности Сбера, выявляя причины отклонений формировать требования на разработку процедур контроля качества, создавать прототипы контрольных проверок, тестировать разработки вести инцидент-менеджмент по вопросам качества данных внедрять новые методы контроля, включая способы машинного обучения (ML) Мы ждём что ты: высшее экономическое или техническое образование уверенное владение языком программирования SQL опыт работы с базами данных (например, Greenplum, SQL Server) продвинутый уровень владения Excel опыт проведения исследований и анализа данных. Будет плюсом: опыт работы с инструментами визуализации данных знание других языков программирования навыки использования ИИ в работе (например, GigaChat, Kandinsky) готовность учиться и адаптироваться Что мы предлагаем: ежегодная индексация зарплаты плюс годовая премия удобный офис в центре Нижнего Новгорода (ул. Костина, дом 6), недалеко от метро работа в графике 5/2, с возможностью формировать под себя и свои привычки рабочий график корпоративное обучение через виртуальную школу Сбера, регулярные митапы индивидуальная адаптация и сопровождение наставником с первых дней ДМС с первого рабочего дня, льготное страхование для семьи сниженная ставка по ипотеке на треть от ключевой ставки ЦБ бонусы за рекомендации друзей в нашу команду."
